Category,ID,Yield (kg),Processed (kg),Beer (liters),X Coordinate,Y Coordinate,Lane From,Lane To,Capacity (kg/liters),Repair Cost,Ground Class
HullPoint_2,15,,,,441,637,,,,,1
HullPoint_2,16,,,,476,564,,,,,1
HullPoint_2,17,,,,494,539,,,,,1
HullPoint_2,18,,,,520,515,,,,,1
HullPoint_2,19,,,,595,481,,,,,1
Hull_3,Array of Points,,,,,,,,,,6
HullPoint_3,0,,,,-328,744,,,,,6
HullPoint_3,1,,,,-273,744,,,,,6
HullPoint_3,2,,,,-150,872,,,,,6
HullPoint_3,3,,,,-148,883,,,,,6
HullPoint_3,4,,,,-143,919,,,,,6
HullPoint_3,5,,,,-147,940,,,,,6
HullPoint_3,6,,,,-158,955,,,,,6
HullPoint_3,7,,,,-185,978,,,,,6
HullPoint_3,8,,,,-212,999,,,,,6
HullPoint_3,9,,,,-381,999,,,,,6
HullPoint_3,10,,,,-511,998,,,,,6
HullPoint_3,11,,,,-519,996,,,,,6
HullPoint_3,12,,,,-523,991,,,,,6
HullPoint_3,13,,,,-530,970,,,,,6
HullPoint_3,14,,,,-533,932,,,,,6
HullPoint_3,15,,,,-528,907,,,,,6
HullPoint_3,16,,,,-503,836,,,,,6
HullPoint_3,17,,,,-478,788,,,,,6
HullPoint_3,18,,,,-413,754,,,,,6
Hull_4,Array of Points,,,,,,,,,,1
HullPoint_4,0,,,,781,-582,,,,,1
HullPoint_4,1,,,,825,-565,,,,,1
HullPoint_4,2,,,,887,-493,,,,,1
HullPoint_4,3,,,,905,-440,,,,,1
HullPoint_4,4,,,,894,-331,,,,,1
HullPoint_4,5,,,,846,-272,,,,,1
HullPoint_4,6,,,,824,-247,,,,,1
HullPoint_4,7,,,,803,-229,,,,,1
HullPoint_4,8,,,,787,-219,,,,,1
HullPoint_4,9,,,,774,-216,,,,,1
HullPoint_4,10,,,,710,-203,,,,,1
HullPoint_4,11,,,,637,-216,,,,,1
HullPoint_4,12,,,,623,-222,,,,,1
HullPoint_4,13,,,,575,-260,,,,,1
HullPoint_4,14,,,,526,-334,,,,,1
HullPoint_4,15,,,,513,-369,,,,,1
HullPoint_4,16,,,,511,-410,,,,,1
HullPoint_4,17,,,,523,-452,,,,,1
HullPoint_4,18,,,,530,-461,,,,,1
Hull_5,Array of Points,,,,,,,,,,5
HullPoint_5,0,,,,-69,-112,,,,,5
HullPoint_5,1,,,,-2,-106,,,,,5
HullPoint_5,2,,,,49,-79,,,,,5
HullPoint_5,3,,,,79,-60,,,,,5
HullPoint_5,4,,,,127,5,,,,,5
HullPoint_5,5,,,,136,46,,,,,5
HullPoint_5,6,,,,144,96,,,,,5
HullPoint_5,7,,,,135,127,,,,,5
HullPoint_5,8,,,,116,175,,,,,5
HullPoint_5,9,,,,109,186,,,,,5
HullPoint_5,10,,,,47,247,,,,,5
HullPoint_5,11,,,,20,271,,,,,5
HullPoint_5,12,,,,-50,279,,,,,5
HullPoint_5,13,,,,-143,259,,,,,5
HullPoint_5,14,,,,-192,217,,,,,5
HullPoint_5,15,,,,-232,120,,,,,5
HullPoint_5,16,,,,-239,83,,,,,5
HullPoint_5,17,,,,-234,28,,,,,5
HullPoint_5,18,,,,-206,-20,,,,,5
HullPoint_5,19,,,,-187,-52,,,,,5
HullPoint_5,20,,,,-171,-73,,,,,5
HullPoint_5,21,,,,-90,-104,,,,,5
Hull_6,Array of Points,,,,,,,,,,1
HullPoint_6,0,,,,637,-98,,,,,1
HullPoint_6,1,,,,764,-74,,,,,1
HullPoint_6,2,,,,790,-63,,,,,1
HullPoint_6,3,,,,851,9,,,,,1
HullPoint_6,4,,,,865,43,,,,,1
HullPoint_6,5,,,,873,111,,,,,1
HullPoint_6,6,,,,872,119,,,,,1
HullPoint_6,7,,,,862,145,,,,,1
HullPoint_6,8,,,,846,183,,,,,1
HullPoint_6,9,,,,837,201,,,,,1
HullPoint_6,10,,,,821,221,,,,,1
HullPoint_6,11,,,,810,230,,,,,1
HullPoint_6,12,,,,737,286,,,,,1
HullPoint_6,13,,,,673,289,,,,,1
HullPoint_6,14,,,,623,278,,,,,1
HullPoint_6,15,,,,560,255,,,,,1
HullPoint_6,16,,,,542,238,,,,,1
HullPoint_6,17,,,,502,179,,,,,1
HullPoint_6,18,,,,476,122,,,,,1
HullPoint_6,19,,,,507,-8,,,,,1
HullPoint_6,20,,,,584,-79,,,,,1
Hull_7,Array of Points,,,,,,,,,,5
HullPoint_7,0,,,,105,-832,,,,,5
HullPoint_7,1,,,,193,-821,,,,,5
HullPoint_7,2,,,,226,-811,,,,,5
HullPoint_7,3,,,,292,-756,,,,,5
HullPoint_7,4,,,,310,-721,,,,,5
HullPoint_7,5,,,,329,-635,,,,,5
HullPoint_7,6,,,,325,-586,,,,,5
HullPoint_7,7,,,,316,-561,,,,,5
HullPoint_7,8,,,,302,-537,,,,,5
HullPoint_7,9,,,,266,-484,,,,,5
HullPoint_7,10,,,,213,-453,,,,,5
HullPoint_7,11,,,,98,-442,,,,,5
HullPoint_7,12,,,,75,-445,,,,,5
HullPoint_7,13,,,,12,-481,,,,,5
HullPoint_7,14,,,,-7,-497,,,,,5
HullPoint_7,15,,,,-49,-558,,,,,5
HullPoint_7,16,,,,-57,-607,,,,,5
HullPoint_7,17,,,,-61,-671,,,,,5
HullPoint_7,18,,,,-37,-736,,,,,5
HullPoint_7,19,,,,18,-792,,,,,5
Hull_8,Array of Points,,,,,,,,,,5
HullPoint_8,0,,,,256,85,,,,,5
HullPoint_8,1,,,,280,85,,,,,5
HullPoint_8,2,,,,347,106,,,,,5
HullPoint_8,3,,,,407,153,,,,,5
HullPoint_8,4,,,,424,179,,,,,5
HullPoint_8,5,,,,450,253,,,,,5
HullPoint_8,6,,,,450,317,,,,,5
HullPoint_8,7,,,,440,358,,,,,5
HullPoint_8,8,,,,427,390,,,,,5
HullPoint_8,9,,,,389,436,,,,,5
HullPoint_8,10,,,,346,454,,,,,5
HullPoint_8,11,,,,292,476,,,,,5
HullPoint_8,12,,,,272,479,,,,,5
HullPoint_8,13,,,,251,478,,,,,5
HullPoint_8,14,,,,210,474,,,,,5
HullPoint_8,15,,,,187,465,,,,,5
HullPoint_8,16,,,,156,447,,,,,5
HullPoint_8,17,,,,105,399,,,,,5
HullPoint_8,18,,,,83,365,,,,,5
HullPoint_8,19,,,,78,348,,,,,5
HullPoint_8,20,,,,71,304,,,,,5
HullPoint_8,21,,,,71,295,,,,,5
HullPoint_8,22,,,,77,278,,,,,5
HullPoint_8,23,,,,92,246,,,,,5
HullPoint_8,24,,,,146,132,,,,,5
HullPoint_8,25,,,,172,106,,,,,5
HullPoint_8,26,,,,187,100,,,,,5
HullPoint_8,27,,,,223,88,,,,,5
Hull_9,Array of Points,,,,,,,,,,3
HullPoint_9,0,,,,-627,-735,,,,,3
HullPoint_9,1,,,,-571,-730,,,,,3
HullPoint_9,2,,,,-538,-720,,,,,3
HullPoint_9,3,,,,-463,-661,,,,,3
HullPoint_9,4,,,,-430,-600,,,,,3
HullPoint_9,5,,,,-425,-560,,,,,3
HullPoint_9,6,,,,-424,-547,,,,,3
HullPoint_9,7,,,,-423,-503,,,,,3
HullPoint_9,8,,,,-434,-478,,,,,3
HullPoint_9,9,,,,-447,-451,,,,,3
HullPoint_9,10,,,,-467,-419,,,,,3
HullPoint_9,11,,,,-564,-349,,,,,3
HullPoint_9,12,,,,-610,-346,,,,,3
HullPoint_9,13,,,,-726,-379,,,,,3
HullPoint_9,14,,,,-770,-418,,,,,3
HullPoint_9,15,,,,-784,-453,,,,,3
HullPoint_9,16,,,,-795,-491,,,,,3
HullPoint_9,17,,,,-795,-589,,,,,3
HullPoint_9,18,,,,-793,-608,,,,,3
HullPoint_9,19,,,,-768,-660,,,,,3
HullPoint_9,20,,,,-740,-694,,,,,3
HullPoint_9,21,,,,-685,-725,,,,,3
HullPoint_9,22,,,,-659,-731,,,,,3
HullPoint_9,23,,,,-644,-734,,,,,3
Hull_10,Array of Points,,,,,,,,,,2
HullPoint_10,0,,,,-532,-222,,,,,2
HullPoint_10,1,,,,-408,-174,,,,,2
HullPoint_10,2,,,,-374,-139,,,,,2
HullPoint_10,3,,,,-345,-64,,,,,2
HullPoint_10,4,,,,-342,-36,,,,,2
HullPoint_10,5,,,,-376,91,,,,,2
HullPoint_10,6,,,,-592,164,,,,,2
HullPoint_10,7,,,,-643,142,,,,,2
HullPoint_10,8,,,,-692,96,,,,,2
HullPoint_10,9,,,,-728,1,,,,,2
HullPoint_10,10,,,,-729,-59,,,,,2
HullPoint_10,11,,,,-727,-71,,,,,2
HullPoint_10,12,,,,-708,-115,,,,,2
HullPoint_10,13,,,,-649,-181,,,,,2
HullPoint_10,14,,,,-571,-218,,,,,2
Hull_11,Array of Points,,,,,,,,,,6
HullPoint_11,0,,,,337,-590,,,,,6
HullPoint_11,1,,,,357,-571,,,,,6
HullPoint_11,2,,,,393,-535,,,,,6
HullPoint_11,3,,,,411,-506,,,,,6
HullPoint_11,4,,,,419,-471,,,,,6
HullPoint_11,5,,,,419,-461,,,,,6
HullPoint_11,6,,,,391,-329,,,,,6
HullPoint_11,7,,,,355,-285,,,,,6
HullPoint_11,8,,,,279,-246,,,,,6
HullPoint_11,9,,,,215,-244,,,,,6
HullPoint_11,10,,,,197,-245,,,,,6
HullPoint_11,11,,,,141,-258,,,,,6
HullPoint_11,12,,,,76,-309,,,,,6
HullPoint_11,13,,,,56,-336,,,,,6
HullPoint_11,14,,,,44,-397,,,,,6
HullPoint_11,15,,,,34,-452,,,,,6
HullPoint_11,16,,,,37,-455,,,,,6
Hull_12,Array of Points,,,,,,,,,,1
HullPoint_12,0,,,,-752,531,,,,,1
HullPoint_12,1,,,,-706,531,,,,,1
HullPoint_12,2,,,,-632,540,,,,,1
HullPoint_12,3,,,,-518,646,,,,,1
HullPoint_12,4,,,,-509,690,,,,,1
HullPoint_12,5,,,,-506,718,,,,,1
HullPoint_12,6,,,,-512,785,,,,,1
HullPoint_12,7,,,,-536,825,,,,,1
HullPoint_12,8,,,,-616,891,,,,,1
HullPoint_12,9,,,,-643,913,,,,,1
HullPoint_12,10,,,,-671,920,,,,,1
HullPoint_12,11,,,,-733,916,,,,,1
HullPoint_12,12,,,,-774,899,,,,,1
HullPoint_12,13,,,,-790,891,,,,,1
HullPoint_12,14,,,,-843,858,,,,,1
HullPoint_12,15,,,,-877,819,,,,,1
HullPoint_12,16,,,,-894,773,,,,,1
HullPoint_12,17,,,,-893,668,,,,,1
HullPoint_12,18,,,,-850,599,,,,,1
Hull_13,Array of Points,,,,,,,,,,6
HullPoint_13,0,,,,-918,-215,,,,,6
HullPoint_13,1,,,,-872,-213,,,,,6
HullPoint_13,2,,,,-815,-196,,,,,6
HullPoint_13,3,,,,-744,-160,,,,,6
HullPoint_13,4,,,,-727,-118,,,,,6
HullPoint_13,5,,,,-722,-94,,,,,6
HullPoint_13,6,,,,-712,78,,,,,6
HullPoint_13,7,,,,-782,148,,,,,6
HullPoint_13,8,,,,-855,174,,,,,6
HullPoint_13,9,,,,-912,169,,,,,6
HullPoint_13,10,,,,-952,161,,,,,6
HullPoint_13,11,,,,-996,141,,,,,6
HullPoint_13,12,,,,-1000,-26,,,,,6
HullPoint_13,13,,,,-1000,-161,,,,,6
HullPoint_13,14,,,,-987,-184,,,,,6
Hull_14,Array of Points,,,,,,,,,,5
HullPoint_14,0,,,,506,-994,,,,,5
HullPoint_14,1,,,,532,-975,,,,,5
HullPoint_14,2,,,,524,-877,,,,,5
HullPoint_14,3,,,,406,-796,,,,,5
HullPoint_14,4,,,,319,-737,,,,,5
HullPoint_14,5,,,,166,-844,,,,,5
HullPoint_14,6,,,,156,-861,,,,,5
HullPoint_14,7,,,,143,-948,,,,,5
HullPoint_14,8,,,,141,-965,,,,,5
HullPoint_14,9,,,,209,-985,,,,,5
HullPoint_14,10,,,,250,-991,,,,,5
HullPoint_14,11,,,,317,-993,,,,,5
Hull_15,Array of Points,,,,,,,,,,2
HullPoint_15,0,,,,989,230,,,,,2
HullPoint_15,1,,,,999,239,,,,,2
HullPoint_15,2,,,,999,580,,,,,2
HullPoint_15,3,,,,990,603,,,,,2
HullPoint_15,4,,,,961,624,,,,,2
HullPoint_15,5,,,,912,614,,,,,2
HullPoint_15,6,,,,855,590,,,,,2
HullPoint_15,7,,,,790,514,,,,,2
HullPoint_15,8,,,,781,463,,,,,2
HullPoint_15,9,,,,783,390,,,,,2
HullPoint_15,10,,,,784,368,,,,,2
HullPoint_15,11,,,,851,265,,,,,2
HullPoint_15,12,,,,926,236,,,,,2
Hull_16,Array of Points,,,,,,,,,,2
HullPoint_16,0,,,,503,241,,,,,2
HullPoint_16,1,,,,757,283,,,,,2
HullPoint_16,2,,,,792,325,,,,,2
HullPoint_16,3,,,,763,483,,,,,2
HullPoint_16,4,,,,752,505,,,,,2
HullPoint_16,5,,,,485,520,,,,,2
HullPoint_16,6,,,,432,494,,,,,2
HullPoint_16,7,,,,427,448,,,,,2
HullPoint_16,8,,,,427,446,,,,,2
HullPoint_16,9,,,,444,369,,,,,2
HullPoint_16,10,,,,468,269,,,,,2
Hull_17,Array of Points,,,,,,,,,,3
HullPoint_17,0,,,,-513,806,,,,,3
HullPoint_17,1,,,,-514,817,,,,,3
HullPoint_17,2,,,,-546,943,,,,,3
HullPoint_17,3,,,,-562,989,,,,,3
HullPoint_17,4,,,,-566,995,,,,,3
HullPoint_17,5,,,,-680,1000,,,,,3
HullPoint_17,6,,,,-821,997,,,,,3
HullPoint_17,7,,,,-864,887,,,,,3
HullPoint_17,8,,,,-848,869,,,,,3
Hull_18,Array of Points,,,,,,,,,,1
HullPoint_18,0,,,,795,540,,,,,1
HullPoint_18,1,,,,989,626,,,,,1
HullPoint_18,2,,,,996,648,,,,,1
HullPoint_18,3,,,,999,704,,,,,1
HullPoint_18,4,,,,994,802,,,,,1
HullPoint_18,5,,,,990,816,,,,,1
HullPoint_18,6,,,,951,874,,,,,1
HullPoint_18,7,,,,902,870,,,,,1
HullPoint_18,8,,,,886,866,,,,,1
HullPoint_18,9,,,,858,849,,,,,1
HullPoint_18,10,,,,823,825,,,,,1
HullPoint_18,11,,,,815,814,,,,,1
HullPoint_18,12,,,,809,788,,,,,1
Hull_19,Array of Points,,,,,,,,,,5
HullPoint_19,0,,,,-281,-579,,,,,5
HullPoint_19,1,,,,-223,-575,,,,,5
HullPoint_19,2,,,,-139,-534,,,,,5
HullPoint_19,3,,,,-125,-522,,,,,5
HullPoint_19,4,,,,-87,-475,,,,,5
HullPoint_19,5,,,,-60,-373,,,,,5
HullPoint_19,6,,,,-77,-305,,,,,5
HullPoint_19,7,,,,-83,-286,,,,,5
HullPoint_19,8,,,,-175,-212,,,,,5
HullPoint_19,9,,,,-290,-186,,,,,5
HullPoint_19,10,,,,-373,-230,,,,,5
HullPoint_19,11,,,,-383,-239,,,,,5
HullPoint_19,12,,,,-420,-273,,,,,5
HullPoint_19,13,,,,-430,-286,,,,,5
HullPoint_19,14,,,,-448,-338,,,,,5
HullPoint_19,15,,,,-451,-423,,,,,5
HullPoint_19,16,,,,-394,-522,,,,,5
HullPoint_19,17,,,,-383,-530,,,,,5
HullPoint_19,18,,,,-333,-564,,,,,5
Hull_20,Array of Points,,,,,,,,,,6
HullPoint_20,0,,,,-906,628,,,,,6
HullPoint_20,1,,,,-891,642,,,,,6
HullPoint_20,2,,,,-861,988,,,,,6
HullPoint_20,3,,,,-876,997,,,,,6
HullPoint_20,4,,,,-975,983,,,,,6
HullPoint_20,5,,,,-990,948,,,,,6
HullPoint_20,6,,,,-995,902,,,,,6
HullPoint_20,7,,,,-999,791,,,,,6
HullPoint_20,8,,,,-1000,720,,,,,6
HullPoint_20,9,,,,-996,666,,,,,6
HullPoint_20,10,,,,-968,643,,,,,6
Hull_21,Array of Points,,,,,,,,,,6
HullPoint_21,0,,,,-53,-1000,,,,,6
HullPoint_21,1,,,,-50,-1000,,,,,6
HullPoint_21,2,,,,-10,-999,,,,,6
HullPoint_21,3,,,,27,-997,,,,,6
HullPoint_21,4,,,,82,-988,,,,,6
HullPoint_21,5,,,,83,-987,,,,,6
HullPoint_21,6,,,,121,-946,,,,,6
HullPoint_21,7,,,,138,-845,,,,,6
HullPoint_21,8,,,,-90,-648,,,,,6
HullPoint_21,9,,,,-109,-649,,,,,6
HullPoint_21,10,,,,-133,-662,,,,,6
HullPoint_21,11,,,,-162,-684,,,,,6
HullPoint_21,12,,,,-201,-765,,,,,6
HullPoint_21,13,,,,-221,-815,,,,,6
HullPoint_21,14,,,,-221,-854,,,,,6
HullPoint_21,15,,,,-206,-908,,,,,6
HullPoint_21,16,,,,-178,-946,,,,,6
HullPoint_21,17,,,,-163,-962,,,,,6
HullPoint_21,18,,,,-136,-978,,,,,6
HullPoint_21,19,,,,-130,-981,,,,,6
HullPoint_21,20,,,,-104,-989,,,,,6
Hull_22,Array of Points,,,,,,,,,,5
HullPoint_22,0,,,,-108,-639,,,,,5
HullPoint_22,1,,,,-84,-620,,,,,5
HullPoint_22,2,,,,5,-464,,,,,5
HullPoint_22,3,,,,77,-298,,,,,5
HullPoint_22,4,,,,15,-269,,,,,5
HullPoint_22,5,,,,-51,-263,,,,,5
HullPoint_22,6,,,,-78,-262,,,,,5
HullPoint_22,7,,,,-87,-271,,,,,5
HullPoint_22,8,,,,-144,-572,,,,,5
HullPoint_22,9,,,,-143,-575,,,,,5
HullPoint_22,10,,,,-114,-636,,,,,5
Hull_23,Array of Points,,,,,,,,,,1
HullPoint_23,0,,,,-735,-999,,,,,1
HullPoint_23,1,,,,-702,-999,,,,,1
HullPoint_23,2,,,,-496,-990,,,,,1
HullPoint_23,3,,,,-464,-973,,,,,1
HullPoint_23,4,,,,-435,-906,,,,,1
HullPoint_23,5,,,,-427,-861,,,,,1
HullPoint_23,6,,,,-430,-848,,,,,1
HullPoint_23,7,,,,-433,-836,,,,,1
HullPoint_23,8,,,,-459,-792,,,,,1
HullPoint_23,9,,,,-483,-758,,,,,1
HullPoint_23,10,,,,-534,-730,,,,,1
HullPoint_23,11,,,,-687,-729,,,,,1
HullPoint_23,12,,,,-705,-732,,,,,1
HullPoint_23,13,,,,-753,-761,,,,,1
HullPoint_23,14,,,,-772,-775,,,,,1
HullPoint_23,15,,,,-789,-798,,,,,1
HullPoint_23,16,,,,-792,-806,,,,,1
HullPoint_23,17,,,,-811,-869,,,,,1
HullPoint_23,18,,,,-812,-881,,,,,1
HullPoint_23,19,,,,-813,-918,,,,,1
HullPoint_23,20,,,,-790,-992,,,,,1
Hull_24,Array of Points,,,,,,,,,,3
HullPoint_24,0,,,,-208,345,,,,,3
HullPoint_24,1,,,,-154,373,,,,,3
HullPoint_24,2,,,,-94,432,,,,,3
HullPoint_24,3,,,,-75,514,,,,,3
HullPoint_24,4,,,,-97,607,,,,,3
HullPoint_24,5,,,,-116,639,,,,,3
HullPoint_24,6,,,,-130,656,,,,,3
HullPoint_24,7,,,,-174,691,,,,,3
HullPoint_24,8,,,,-276,718,,,,,3
HullPoint_24,9,,,,-349,704,,,,,3
HullPoint_24,10,,,,-414,653,,,,,3
HullPoint_24,11,,,,-465,496,,,,,3
Hull_25,Array of Points,,,,,,,,,,1
HullPoint_25,0,,,,29,299,,,,,1
HullPoint_25,1,,,,47,300,,,,,1
HullPoint_25,2,,,,260,486,,,,,1
HullPoint_25,3,,,,265,507,,,,,1
HullPoint_25,4,,,,248,568,,,,,1
HullPoint_25,5,,,,234,595,,,,,1
HullPoint_25,6,,,,188,647,,,,,1
HullPoint_25,7,,,,102,686,,,,,1
HullPoint_25,8,,,,93,688,,,,,1
HullPoint_25,9,,,,51,684,,,,,1
HullPoint_25,10,,,,3,679,,,,,1
HullPoint_25,11,,,,-24,663,,,,,1
HullPoint_25,12,,,,-60,631,,,,,1
HullPoint_25,13,,,,-72,563,,,,,1
HullPoint_25,14,,,,-101,396,,,,,1
HullPoint_25,15,,,,-52,343,,,,,1
HullPoint_25,16,,,,-11,307,,,,,1
Hull_26,Array of Points,,,,,,,,,,2
HullPoint_26,0,,,,647,-1000,,,,,2
HullPoint_26,1,,,,808,-995,,,,,2
HullPoint_26,2,,,,880,-971,,,,,2
HullPoint_26,3,,,,917,-904,,,,,2
HullPoint_26,4,,,,933,-874,,,,,2
HullPoint_26,5,,,,933,-853,,,,,2
HullPoint_26,6,,,,926,-770,,,,,2
HullPoint_26,7,,,,922,-749,,,,,2
HullPoint_26,8,,,,891,-699,,,,,2
HullPoint_26,9,,,,826,-657,,,,,2
HullPoint_26,10,,,,781,-650,,,,,2
HullPoint_26,11,,,,771,-656,,,,,2
HullPoint_26,12,,,,558,-872,,,,,2
HullPoint_26,13,,,,595,-959,,,,,2
Hull_27,Array of Points,,,,,,,,,,5
HullPoint_27,0,,,,974,-997,,,,,5
HullPoint_27,1,,,,996,-991,,,,,5
HullPoint_27,2,,,,999,-926,,,,,5
HullPoint_27,3,,,,1000,-869,,,,,5
HullPoint_27,4,,,,999,-786,,,,,5
HullPoint_27,5,,,,983,-753,,,,,5
HullPoint_27,6,,,,950,-770,,,,,5
HullPoint_27,7,,,,936,-779,,,,,5
HullPoint_27,8,,,,874,-984,,,,,5
Hull_28,Array of Points,,,,,,,,,,3
HullPoint_28,0,,,,-394,-742,,,,,3
HullPoint_28,1,,,,-376,-741,,,,,3
HullPoint_28,2,,,,-329,-738,,,,,3
HullPoint_28,3,,,,-272,-714,,,,,3
HullPoint_28,4,,,,-237,-694,,,,,3
HullPoint_28,5,,,,-188,-607,,,,,3
HullPoint_28,6,,,,-189,-599,,,,,3
HullPoint_28,7,,,,-459,-388,,,,,3
HullPoint_28,8,,,,-483,-388,,,,,3
HullPoint_28,9,,,,-481,-716,,,,,3
HullPoint_28,10,,,,-435,-736,,,,,3
Hull_29,Array of Points,,,,,,,,,,5
HullPoint_29,0,,,,-737,247,,,,,5
HullPoint_29,1,,,,-703,247,,,,,5
HullPoint_29,2,,,,-650,252,,,,,5
HullPoint_29,3,,,,-499,496,,,,,5
HullPoint_29,4,,,,-500,516,,,,,5
HullPoint_29,5,,,,-514,547,,,,,5
HullPoint_29,6,,,,-574,568,,,,,5
HullPoint_29,7,,,,-835,550,,,,,5
HullPoint_29,8,,,,-860,501,,,,,5
HullPoint_29,9,,,,-873,433,,,,,5
HullPoint_29,10,,,,-874,390,,,,,5
HullPoint_29,11,,,,-862,362,,,,,5
HullPoint_29,12,,,,-842,333,,,,,5
HullPoint_29,13,,,,-799,287,,,,,5
HullPoint_29,14,,,,-782,271,,,,,5
Hull_30,Array of Points,,,,,,,,,,1
HullPoint_30,0,,,,197,649,,,,,1
HullPoint_30,1,,,,231,649,,,,,1
HullPoint_30,2,,,,270,728,,,,,1
HullPoint_30,3,,,,277,818,,,,,1
HullPoint_30,4,,,,276,829,,,,,1
HullPoint_30,5,,,,261,889,,,,,1
HullPoint_30,6,,,,208,947,,,,,1
HullPoint_30,7,,,,133,976,,,,,1
HullPoint_30,8,,,,59,983,,,,,1
HullPoint_30,9,,,,-53,921,,,,,1
HullPoint_30,10,,,,-100,804,,,,,1
HullPoint_30,11,,,,-100,736,,,,,1
HullPoint_30,12,,,,-99,727,,,,,1
HullPoint_30,13,,,,-57,683,,,,,1
HullPoint_30,14,,,,-36,664,,,,,1
Hull_31,Array of Points,,,,,,,,,,6
HullPoint_31,0,,,,977,-173,,,,,6
HullPoint_31,1,,,,985,-164,,,,,6
HullPoint_31,2,,,,987,-158,,,,,6
